iter	Passed	Remaining
298	60122	40416
299	60320	40213
300	60511	40006
301	60702	39798
302	60894	39591
303	61090	39387
304	61285	39182
305	61477	38975
306	61666	38767
307	61900	38587
308	62110	38391
309	62309	38189
310	62506	37986
311	62698	37780
312	62891	37573
313	63086	37369
314	63284	37167
315	63474	36959
316	63668	36754
317	63862	36550
318	64064	36350
319	64270	36152
320	64470	35950
321	64663	35745
322	64859	35542
323	65055	35339
324	65252	35135
325	65444	34930
326	65636	34725
327	65832	34521
328	66037	34323
329	66229	34118
330	66426	33915
331	66628	33715
332	66828	33514
333	67024	33311
334	67220	33108
335	67413	32904
336	67610	32701
337	67808	32499
338	68002	32296
339	68198	32093
340	68395	31891
341	68589	31687
342	68791	31487
343	68991	31286
344	69185	31083
345	69378	30879
346	69574	30676
347	69764	30471
348	69962	30270
349	70159	30068
350	70352	29864
351	70547	29662
352	70743	29459
353	70952	29262
354	71151	29062
355	71345	28859
356	71538	28655
357	71739	28455
358	71932	28251
359	72136	28052
360	72329	27849
361	72525	27647
362	72716	27444
363	72908	27240
364	73116	27043
365	73309	26840
366	73503	26637
367	73700	26435
368	73890	26232
369	74085	26030
370	74283	25829
371	74486	25629
372	74686	25429
373	74885	25228
374	75084	25028
375	75289	24829
376	75498	24632
377	75695	24430
378	75898	24231
379	76107	24034
380	76305	23832
381	76501	23631
382	76692	23428
383	76887	23226
384	77083	23024
385	77284	22824
386	77486	22625
387	77683	22423
388	77881	22223
389	78079	22022
390	78275	21820
391	78474	21620
392	78673	21419
393	78871	21219
394	79073	21019
395	79266	20817
396	79464	20616
397	79674	20418
398	79876	20219
399	80083	20020
400	80288	19821
401	80485	19620
402	80681	19419
403	80874	19217
404	81063	19014
405	81257	18813
406	81452	18612
407	81652	18411
408	81852	18211
409	82053	18011
410	82251	17811
411	82451	17610
412	82647	17410
413	82842	17208
414	83047	17009
415	83253	16810
416	83450	16609
417	83642	16408
418	83841	16208
419	84049	16009
420	84259	15811
421	84455	15610
422	84651	15409
423	84851	15209
424	85061	15010
425	85264	14811
426	85459	14610
427	85656	14409
428	85852	14208
429	86052	14008
430	86261	13809
431	86467	13610
432	86670	13410
433	86871	13210
434	87070	13010
435	87270	12810
436	87469	12610
437	87668	12409
438	87873	12210
439	88070	12009
440	88267	11808
441	88461	11608
442	88669	11408
443	88866	11208
444	89071	11008
445	89269	10808
446	89466	10607
447	89663	10407
448	89863	10207
449	90067	10007
450	90263	9806
451	90473	9607
452	90682	9408
453	90888	9208
454	91097	9009
455	91305	8810
456	91508	8610
457	91710	8410
458	91912	8210
459	92107	8009
460	92311	7809
461	92527	7610
462	92727	7410
463	92936	7210
464	93147	7011
465	93350	6810
466	93551	6610
467	93791	6413
468	93991	6212
469	94190	6012
470	94394	5811
471	94591	5611
472	94791	5410
473	94993	5210
474	95199	5010
475	95402	4810
476	95603	4609
477	95804	4409
478	96001	4208
479	96207	4008
480	96413	3808
481	96612	3607
482	96809	3407
483	97017	3207
484	97227	3007
485	97444	2807
486	97659	2606
487	97860	2406
488	98065	2205
489	98269	2005
490	98470	1804
491	98669	1604
492	98871	1403
493	99080	1203
494	99279	1002
495	99482	802
496	99687	601
497	99897	401
498	100095	200
499	100306	0
