iter	TotalF1	MultiClass
387	0.8062022254	0.495706528
388	0.8061705856	0.4953409896
389	0.8065283033	0.4948746517
390	0.8071894508	0.494252159
391	0.8072836295	0.4940263655
392	0.8073590561	0.4938699065
393	0.807633268	0.4933455238
394	0.8079208671	0.4927793876
395	0.8081838967	0.4925345308
396	0.8084822375	0.4919474057
397	0.8090457052	0.4912314177
398	0.8094219264	0.4906248365
399	0.8095381067	0.4902266066
400	0.8101147365	0.4892694894
401	0.8102295323	0.4889672113
402	0.8105969069	0.4886013441
403	0.8106982682	0.4881887259
404	0.810799627	0.4879225525
405	0.8108728768	0.4877459506
406	0.8110503916	0.4873445649
407	0.8111362272	0.4868726291
408	0.8114234696	0.4865019264
409	0.8116531843	0.4861588906
410	0.8117301599	0.4858960151
411	0.8121057662	0.4853682073
412	0.812198302	0.4850094871
413	0.8125895168	0.4846436294
414	0.812717958	0.4842681977
415	0.8126987712	0.4839759474
416	0.8128647692	0.4836616558
417	0.8132620175	0.4832889147
418	0.8134447777	0.4828793018
419	0.8135631422	0.4825948939
420	0.8140687047	0.4820370922
421	0.8142329393	0.48158274
422	0.814253121	0.4813567514
423	0.8143522891	0.481006795
424	0.8146731832	0.480561148
425	0.8148272897	0.4802131203
426	0.815019818	0.4799003785
427	0.8154333353	0.4792416043
428	0.8155834091	0.4789892609
429	0.8157516281	0.4786079468
430	0.8158582823	0.4782985004
431	0.8158702748	0.4781265247
432	0.8160141379	0.4777193876
433	0.8161636199	0.4774785733
434	0.816522265	0.4770040103
435	0.8167361753	0.4764787293
436	0.8169230897	0.4760057729
437	0.8174729871	0.4754664312
438	0.8175384883	0.4751047859
439	0.8176849944	0.4747611888
440	0.8176059869	0.4744566195
441	0.8178914894	0.4741667982
442	0.8180664715	0.4738670642
443	0.8184907148	0.4733713586
444	0.8185830321	0.4729690548
445	0.8186858387	0.4726821488
446	0.8189139413	0.4721503409
447	0.8191841014	0.4717964193
448	0.8192541317	0.4714740933
449	0.8195056765	0.4710827718
450	0.8199391864	0.4706409363
451	0.819972106	0.4703226834
452	0.820164117	0.4699564714
453	0.8202447858	0.4696892287
454	0.820372733	0.4693273289
455	0.8204428133	0.4689510656
456	0.8207572304	0.4685773423
457	0.8210719533	0.4678600512
458	0.821244515	0.4672816334
459	0.821311356	0.4669918145
460	0.8215891171	0.4665363031
461	0.8220600567	0.4660566359
462	0.8223248918	0.4655957778
463	0.8225096458	0.4653248543
464	0.8227871173	0.4648798425
465	0.8229015034	0.4645741058
466	0.8231527305	0.4640482383
467	0.8234632087	0.4636781907
468	0.8236359456	0.463392541
469	0.8236804	0.4631356053
470	0.8239373115	0.4628587194
471	0.8240917486	0.4625049239
472	0.8242963876	0.4621744379
473	0.8245006146	0.4619421812
474	0.8244846588	0.4615421298
475	0.8246729538	0.4612847059
476	0.8247155408	0.4611386847
477	0.8250469407	0.4608811143
478	0.8250573311	0.4606175509
479	0.8252089579	0.4603632626
480	0.8252550763	0.4601622629
481	0.8253049234	0.4599389295
482	0.8256080307	0.4594431888
483	0.8257694973	0.4590335943
484	0.8261527885	0.4585925528
485	0.8263304245	0.4582816934
486	0.8265149139	0.4580236419
487	0.8265665361	0.4577555263
488	0.8268712295	0.457266197
489	0.8271165331	0.4569256287
490	0.8273149228	0.4565082493
491	0.8274861141	0.4562757492
492	0.827699289	0.4558372638
493	0.8280797662	0.4553267375
494	0.8280889433	0.4550860623
495	0.8281988492	0.4548332334
496	0.8284980745	0.4543917424
497	0.828559858	0.4542085506
498	0.8287236921	0.4539620946
499	0.8291929928	0.4535331754
